,index,name,uri,wikipedia,abstract,cid,type,related_to,createdAt,abstract_contents,article_contents,category,super_category,relrel_concepts,link_ratio,entropy
0,0,Construct (psychology),http://dbpedia.org/resource/Construct_(psychology),http://en.wikipedia.org/wiki/Construct_(psychology),"Construct (psychology), also hypothetical construct or psychological construct, is a tool used to facilitate understanding of human behavior. A psychological construct is a label for a domain of behaviors. Behavioral sciences use constructs such as conscientiousness, intelligence, political power, self-esteem, and group culture. For example, if a student sees another sitting in a classroom before an examination biting her nails and fidgeting, the interpretation might be that she is experiencing anxiety. In that case, anxiety is a construct that underlies the behavior that is observed. Cognitive psychologists view constructs as hypothesized causes for certain behaviors, whereas behavioral psychologists view constructs as only descriptors of behaviors. A construct derives its name from the fact that it is a mental construction, derived from scientific process: observing natural phenomena, inferring the common features of those observations, and constructing a label for the commonality or the underlying cause. A construct derives its scientific value from the shared meaning it represents for different people. If a construct is clearly articulated and the phenomena it encompasses are clearly defined, it becomes a useful conceptual tool that facilitates communication. Once defined, constructs become objects of conceptual scrutiny in their own right. Constructs summarize behavioral domains. Constructs are the building blocks of scientific theories.",1755201349435265678,related_concept,Psychology,2024-11-18 23:15:04.822,['Construct (psychology)'],[],set(),set(),0,0,5.4797493176697916e-307
1,1,Mental process,http://dbpedia.org/resource/Mental_process,http://en.wikipedia.org/wiki/Mental_process,,1406748728012178248,related_concept,Psychology,2024-11-18 23:15:04.822,[],['Psychology'],set(),set(),0,0,0.46771107462014067
2,2,Personality psychology,http://dbpedia.org/resource/Personality_psychology,http://en.wikipedia.org/wiki/Personality_psychology,"Personality psychology is a branch of psychology that examines personality and its variation among individuals. It aims to show how people are individually different due to psychological forces. Its areas of focus include: 
* construction of a coherent picture of the individual and their major psychological processes 
* investigation of individual psychological differences 
* investigation of human nature and psychological similarities between individuals ""Personality"" is a dynamic and organized set of characteristics possessed by an individual that uniquely influences their environment, cognition, emotions, motivations, and behaviors in various situations. The word personality originates from the Latin persona, which means ""mask"". Personality also pertains to the pattern of thoughts, feelings, social adjustments, and behaviors persistently exhibited over time that strongly influences one's expectations, self-perceptions, values, and attitudes. Personality also predicts human reactions to other people, problems, and stress. Gordon Allport (1937) described two major ways to study personality: the nomothetic and the idiographic. Nomothetic psychology seeks general laws that can be applied to many different people, such as the principle of self-actualization or the trait of extraversion. Idiographic psychology is an attempt to understand the unique aspects of a particular individual. The study of personality has a broad and varied history in psychology, with an abundance of theoretical traditions. The major theories include dispositional (trait) perspective, psychodynamic, humanistic, biological, behaviorist, evolutionary, and social learning perspective. Many researchers and psychologists do not explicitly identify themselves with a certain perspective and instead take an eclectic approach. Research in this area is empirically driven – such as dimensional models, based on multivariate statistics such as factor analysis – or emphasizes theory development, such as that of the psychodynamic theory. There is also a substantial emphasis on the applied field of personality testing. In psychological education and training, the study of the nature of personality and its psychological development is usually reviewed as a prerequisite to courses in abnormal psychology or clinical psychology.",669263493983862598,related_concept,Psychology,2024-11-18 23:15:04.822,['Personality psychology'],"['Personality psychology', 'Psychology']",set(),set(),0,0,0.07239346437073489
3,3,Emotion,http://dbpedia.org/resource/Emotion,http://en.wikipedia.org/wiki/Emotion,"Emotions are mental states brought on by neurophysiological changes, variously associated with thoughts, feelings, behavioral responses, and a degree of pleasure or displeasure. There is currently no scientific consensus on a definition. Emotions are often intertwined with mood, temperament, personality, disposition, or creativity. Research on emotion has increased over the past two decades with many fields contributing including psychology, medicine, history, sociology of emotions, and computer science. The numerous theories that attempt to explain the origin, function and other aspects of emotions have fostered more intense research on this topic. Current areas of research in the concept of emotion include the development of materials that stimulate and elicit emotion. In addition, PET scans and fMRI scans help study the affective picture processes in the brain. From a mechanistic perspective, emotions can be defined as ""a positive or negative experience that is associated with a particular pattern of physiological activity."" Emotions produce different physiological, behavioral and cognitive changes. The original role of emotions was to motivate adaptive behaviors that in the past would have contributed to the passing on of genes through survival, reproduction, and kin selection. In some theories, cognition is an important aspect of emotion. Other theories, however, claim that emotion is separate from and can precede cognition. Consciously experiencing an emotion is exhibiting a mental representation of that emotion from a past or hypothetical experience, which is linked back to a content state of pleasure or displeasure. The content states are established by verbal explanations of experiences, describing an internal state. Emotions are complex. There are various theories on the question of whether or not emotions cause changes in our behaviour. On the one hand, the physiology of emotion is closely linked to arousal of the nervous system. Emotion is also linked to behavioral tendency. Extroverted people are more likely to be social and express their emotions, while introverted people are more likely to be more socially withdrawn and conceal their emotions. Emotion is often the driving force behind motivation. On the other hand, emotions are not causal forces but simply syndromes of components, which might include motivation, feeling, behaviour, and physiological changes, but none of these components is the emotion. Nor is the emotion an entity that causes these components. Emotions involve different components, such as subjective experience, cognitive processes, expressive behavior, psychophysiological changes, and instrumental behavior. At one time, academics attempted to identify the emotion with one of the components: William James with a subjective experience, behaviorists with instrumental behavior, psychophysiologists with physiological changes, and so on. More recently, emotion is said to consist of all the components. The different components of emotion are categorized somewhat differently depending on the academic discipline. In psychology and philosophy, emotion typically includes a subjective, conscious experience characterized primarily by psychophysiological expressions, biological reactions, and mental states. A similar multi-componential description of emotion is found in sociology. For example, Peggy Thoits described emotions as involving physiological components, cultural or emotional labels (anger, surprise, etc.), expressive body actions, and the appraisal of situations and contexts.",2047936207113583823,related_concept,Psychology,2024-11-18 23:15:04.822,['Emotion'],"['Emotion', 'Mind', 'Psychology']",{'Emotion'},set(),0,0,0.07212567726337651
4,4,Functional psychology,http://dbpedia.org/resource/Functional_psychology,http://en.wikipedia.org/wiki/Functional_psychology,"Functional psychology or functionalism refers to a psychological school of thought that was a direct outgrowth of Darwinian thinking which focuses attention on the utility and purpose of behavior that has been modified over years of human existence. Edward L. Thorndike, best known for his experiments with trial-and-error learning, came to be known as the leader of the loosely defined movement. This movement arose in the U.S. in the late 19th century in direct contrast to Edward Titchener's structuralism, which focused on the contents of consciousness rather than the motives and ideals of human behavior. Functionalism denies the principle of introspection, which tends to investigate the inner workings of human thinking rather than understanding the biological processes of the human consciousness. While functionalism eventually became its own formal school, it built on structuralism's concern for the anatomy of the mind and led to greater concern over the functions of the mind and later to the psychological approach of behaviorism.",2614494348183854881,related_concept,Psychology,2024-11-18 23:15:04.822,['Functional psychology'],"['Functional psychology', 'Psychology']",set(),set(),0,0,0.0687757961589459
5,5,Differential psychology,http://dbpedia.org/resource/Differential_psychology,http://en.wikipedia.org/wiki/Differential_psychology,"Differential psychology studies the ways in which individuals differ in their behavior and the processes that underlie it. This is a discipline that develops classifications (taxonomies) of psychological individual differences. This is distinguished from other aspects of psychology in that although psychology is ostensibly a study of individuals, modern psychologists often study groups, or attempt to discover general psychological processes that apply to all individuals. This particular area of psychology was first named and still retains the name of ""differential psychology"" by William Stern in his book (1900). While prominent psychologists, including Stern, have been widely credited for the concept of individual differences, historical records show that it was Charles Darwin (1859) who first spurred the scientific interest in the study of individual differences. His interest was further pursued by his half-cousin Francis Galton in his attempt to quantify individual differences among people. For example, in evaluating the effectiveness of a new therapy, the mean performance of the therapy in one treatment group might be compared to the mean effectiveness of a placebo (or a well-known therapy) in a second, control group. In this context, differences between individuals in their reaction to the experimental and control manipulations are actually treated as errors rather than as interesting phenomena to study. This approach is applied because psychological research depends upon statistical controls that are only defined upon groups of people.",4231171524592410367,related_concept,Psychology,2024-11-18 23:15:04.822,['Differential psychology'],"['Differential psychology', 'Psychology', 'Industrial and organizational psychology']",set(),set(),0,0,0.0629788175004246
6,6,Behavioural sciences,http://dbpedia.org/resource/Behavioural_sciences,http://en.wikipedia.org/wiki/Behavioural_sciences,"Behavioral sciences explore the cognitive processes within organisms and the behavioral interactions between organisms in the natural world. It involves the systematic analysis and investigation of human and animal behavior through naturalistic observation, controlled scientific experimentation and mathematical modeling. It attempts to accomplish legitimate, objective conclusions through rigorous formulations and observation. Examples of behavioral sciences include psychology, psychobiology, anthropology, economics, and cognitive science. Generally, behavioral science primarily has shown how human action often seeks to generalize about human behavior as it relates to society and its impact on society as a whole.",8784166261228093899,related_concept,Psychology,2024-11-18 23:15:04.822,[],['Behavioural sciences'],set(),set(),0,0,5.4697547348171365e-307
7,7,Educational psychology,http://dbpedia.org/resource/Educational_psychology,http://en.wikipedia.org/wiki/Educational_psychology,"Educational psychology is the branch of psychology concerned with the scientific study of human learning. The study of learning processes, from both cognitive and behavioral perspectives, allows researchers to understand individual differences in intelligence, cognitive development, affect, motivation, self-regulation, and self-concept, as well as their role in learning. The field of educational psychology relies heavily on quantitative methods, including testing and measurement, to enhance educational activities related to instructional design, classroom management, and assessment, which serve to facilitate learning processes in various educational settings across the lifespan. Educational psychology can in part be understood through its relationship with other disciplines. It is informed primarily by psychology, bearing a relationship to that discipline analogous to the relationship between medicine and biology. It is also informed by neuroscience. Educational psychology in turn informs a wide range of specialities within educational studies, including instructional design, educational technology, curriculum development, organizational learning, special education, classroom management, and student motivation. Educational psychology both draws from and contributes to cognitive science and the learning sciences. In universities, departments of educational psychology are usually housed within faculties of education, possibly accounting for the lack of representation of educational psychology content in introductory psychology textbooks. The field of educational psychology involves the study of memory, conceptual processes, and individual differences (via cognitive psychology) in conceptualizing new strategies for learning processes in humans. Educational psychology has been built upon theories of operant conditioning, functionalism, structuralism, constructivism, humanistic psychology, Gestalt psychology, and information processing. Educational psychology has seen rapid growth and development as a profession in the last twenty years. School psychology began with the concept of intelligence testing leading to provisions for special education students, who could not follow the regular classroom curriculum in the early part of the 20th century. Another main focus of school psychology was to help close the gap for children of color, as the fight against racial inequality and segregation was still very prominent, during the early to mid 1900's. However, ""school psychology"" itself has built a fairly new profession based upon the practices and theories of several psychologists among many different fields. Educational psychologists are working side by side with psychiatrists, social workers, teachers, speech and language therapists, and counselors in an attempt to understand the questions being raised when combining behavioral, cognitive, and social psychology in the classroom setting.",5385973707366559520,related_concept,Psychology,2024-11-18 23:15:04.822,['Educational psychology'],"['Educational psychology', 'Psychology', 'Switzerland', 'Developmental psychology']",set(),set(),0,0,5.412832175461374e-307
8,8,Clinical psychology,http://dbpedia.org/resource/Clinical_psychology,http://en.wikipedia.org/wiki/Clinical_psychology,"Clinical psychology is an integration of social science, theory, and clinical knowledge for the purpose of understanding, preventing, and relieving psychologically based distress or dysfunction and to promote subjective well-being and personal development. Central to its practice are psychological assessment, clinical formulation, and psychotherapy, although clinical psychologists also engage in research, teaching, consultation, forensic testimony, and program development and administration. In many countries, clinical psychology is a regulated mental health profession. The field is generally considered to have begun in 1896 with the opening of the first psychological clinic at the University of Pennsylvania by Lightner Witmer. In the first half of the 20th century, clinical psychology was focused on psychological assessment, with little attention given to treatment. This changed after the 1940s when World War II resulted in the need for a large increase in the number of trained clinicians. Since that time, three main educational models have developed in the US—the PhD Clinical Science model (heavily focused on research), the PhD science-practitioner model (integrating scientific research and practice), and the PsyD practitioner-scholar model (focusing on clinical theory and practice). In the UK and the Republic of Ireland, the Clinical Psychology Doctorate falls between the latter two of these models, whilst in much of mainland Europe, the training is at the masters level and predominantly psychotherapeutic. Clinical psychologists are expert in providing psychotherapy, and generally train within four primary theoretical orientations—psychodynamic, humanistic, cognitive behavioral therapy (CBT), and systems or family therapy. Clinical psychology is different from psychiatry. Although practitioners in both fields are experts in mental health, clinical psychologists treat mental disorders primarily through psychotherapy. Currently, only five US states, Louisiana, New Mexico, Illinois, Iowa, and Idaho, allow clinical psychologists with advanced specialty training to prescribe psychotropic medications. Psychiatrists are medical doctors who specialize in the treatment of mental disorders via a variety of methods, e.g., diagnostic assessment, brief psychotherapy, psychoactive medications, and medical procedures such as electroconvulsive therapy (ECT) or transcranial magnetic stimulation (TMS). Additionally, psychiatrists are legally authorized to prescribe psychotropic medications in all states of the U.S. and in all provinces of Canada. In education, clinical psychologists attend a graduate institution and have a doctorate in psychology (Psy.D.) or a Doctor of Psychology (Ph.D.) degree while psychiatrists completed their studies at a medical school and hold a medical degree (M.D.) or an osteopathic degree (D.O.), with the latter only available in the United States.",5683230685284739155,related_concept,Psychology,2024-11-18 23:15:04.822,"['Clinical psychology', 'Psychology']","['Clinical psychology', 'Psychology', 'Emotion']",set(),set(),0,0,5.371477445440698e-307
9,9,Mind,http://dbpedia.org/resource/Mind,http://en.wikipedia.org/wiki/Mind,"The mind is the set of faculties responsible for all mental phenomena. Often the term is also identified with the phenomena themselves. These faculties include thought, imagination, memory, will, and sensation. They are responsible for various mental phenomena, like perception, pain experience, belief, desire, intention, and emotion. Various overlapping classifications of mental phenomena have been proposed. Important distinctions group them according to whether they are sensory, propositional, intentional, conscious, or occurrent. Minds were traditionally understood as substances but it is more common in the contemporary perspective to conceive them as properties or capacities possessed by humans and higher animals. Various competing definitions of the exact nature of the mind or mentality have been proposed. Epistemic definitions focus on the privileged epistemic access the subject has to these states. Consciousness-based approaches give primacy to the conscious mind and allow unconscious mental phenomena as part of the mind only to the extent that they stand in the right relation to the conscious mind. According to intentionality-based approaches, the power to refer to objects and to represent the world is the mark of the mental. For behaviorism, whether an entity has a mind only depends on how it behaves in response to external stimuli while functionalism defines mental states in terms of the causal roles they play. Central questions for the study of mind, like whether other entities besides humans have minds or how the relation between body and mind is to be conceived, are strongly influenced by the choice of one's definition. Mind or mentality is usually contrasted with body, matter or physicality. The issue of the nature of this contrast and specifically the relation between mind and brain is called the mind-body problem. Traditional viewpoints included dualism and idealism, which consider the mind to be non-physical. Modern views often center around physicalism and functionalism, which hold that the mind is roughly identical with the brain or reducible to physical phenomena such as neuronal activity though dualism and idealism continue to have many supporters. Another question concerns which types of beings are capable of having minds. For example, whether mind is exclusive to humans, possessed also by some or all animals, by all living things, whether it is a strictly definable characteristic at all, or whether mind can also be a property of some types of human-made machines. Different cultural and religious traditions often use different concepts of mind, resulting in different answers to these questions. Some see mind as a property exclusive to humans whereas others ascribe properties of mind to non-living entities (e.g. panpsychism and animism), to animals and to deities. Some of the earliest recorded speculations linked mind (sometimes described as identical with soul or spirit) to theories concerning both life after death, and cosmological and natural order, for example in the doctrines of Zoroaster, the Buddha, Plato, Aristotle, and other ancient Greek, Indian and, later, Islamic and medieval European philosophers. Psychologists such as Freud and James, and computer scientists such as Turing developed influential theories about the nature of the mind. The possibility of nonbiological minds is explored in the field of artificial intelligence, which works closely in relation with cybernetics and information theory to understand the ways in which information processing by nonbiological machines is comparable or different to mental phenomena in the human mind. The mind is also sometimes portrayed as the stream of consciousness where sense impressions and mental phenomena are constantly changing.",6063729313272705936,related_concept,Psychology,2024-11-18 23:15:04.822,['Mind'],"['Mind', 'Personality psychology', 'Developmental psychology', 'Psychology']",{'Mind'},set(),0,0,0.08899461836372871
