stdUsername,course_id,totalEnrollments,totalActivities,totalAnnotations,totalLikesOnAnnotations,totalAccesses,videosStarted,videosPauses,pdfStarted,pdfCompleted,slidesViewed,cluster,engagement_level
673f64a30c45089cb1790546,673e19c9e098378056898237,2,37,0,0,33,0,0,0,0,0,2,medium
673e198ae098378056898211,673e19c9e098378056898237,0,21,0,0,13,0,0,2,0,2,0,low
67791606d0a537b9204c9f95,673e19c9e098378056898237,4,130,3,3,55,0,0,34,22,34,1,high
6776a440affb37d64f66efb4,673e19c9e098378056898237,1,1,0,0,0,0,0,0,0,0,0,low
67ca145547ab500a45a1dafd,673e19c9e098378056898237,1,10,2,0,7,0,0,0,0,0,0,low
673f64a30c45089cb1790546,673f62b10c45089cb17901a7,1,7,0,0,5,0,0,0,0,0,2,medium
673e198ae098378056898211,673f62b10c45089cb17901a7,0,3,0,0,1,0,0,0,0,0,0,low
67791606d0a537b9204c9f95,673f62b10c45089cb17901a7,9,57,0,0,40,0,0,0,0,0,1,high
6776a440affb37d64f66efb4,673f62b10c45089cb17901a7,1,1,0,0,0,0,0,0,0,0,0,low
673f63960c45089cb179031b,673f62b10c45089cb17901a7,1,4,0,0,2,0,0,0,0,0,2,medium
673f64a30c45089cb1790546,673f63500c45089cb1790232,12,67,0,0,44,0,0,0,0,0,2,high
673e198ae098378056898211,673f63500c45089cb1790232,0,3,0,0,1,0,0,0,0,0,1,low
67791606d0a537b9204c9f95,673f63500c45089cb1790232,2,38,0,0,35,0,0,0,0,0,0,medium
6776a440affb37d64f66efb4,673f63500c45089cb1790232,1,3,0,0,2,0,0,0,0,0,1,low
673f63960c45089cb179031b,673f63500c45089cb1790232,1,10,0,0,9,0,0,0,0,0,1,low
67ca145547ab500a45a1dafd,673f63500c45089cb1790232,1,2,0,0,1,0,0,0,0,0,1,low
673f64a30c45089cb1790546,6756290819db4d4e1a0f410f,0,45,0,0,35,0,0,4,0,4,2,high
67791606d0a537b9204c9f95,6756290819db4d4e1a0f410f,2,8,0,0,5,0,0,0,0,0,0,low
673f63960c45089cb179031b,6756290819db4d4e1a0f410f,1,27,0,0,20,0,0,6,0,6,2,high
67af45b941da2784956e794a,6756290819db4d4e1a0f410f,1,35,1,1,11,0,0,8,4,8,1,medium
