,index,name,uri,wikipedia,abstract,cid,type,related_to,createdAt,abstract_contents,article_contents,category,super_category,relrel_concepts,link_ratio,entropy
0,2,Indicator function,http://dbpedia.org/resource/Indicator_function,http://en.wikipedia.org/wiki/Indicator_function,"In mathematics, an indicator function or a characteristic function of a subset of a set is a function that maps elements of the subset to one, and all other elements to zero. That is, if A is a subset of some set X, one has if and otherwise, where is a common notation for the indicator function. Other common notations are and The indicator function of A is the Iverson bracket of the property of belonging to A; that is, For example, the Dirichlet function is the indicator function of the rational numbers as a subset of the real numbers.",4381514003829306916,related_concept,Conditional independence,2024-06-23 21:17:09.728,[],['Fuzzy set'],set(),set(),0,4.0,4.714138054045377e-304
1,6,Sigma-algebra,http://dbpedia.org/resource/Sigma-algebra,http://en.wikipedia.org/wiki/Sigma-algebra,,6160039003463786395,related_concept,Conditional independence,2024-06-23 21:17:09.728,[],['Theorem'],set(),set(),0,1.8596491228070176,0.35792250397270964
2,7,Conditional dependence,http://dbpedia.org/resource/Conditional_dependence,http://en.wikipedia.org/wiki/Conditional_dependence,"In probability theory, conditional dependence is a relationship between two or more events that are dependent when a third event occurs. For example, if and are two events that individually increase the probability of a third event and do not directly affect each other, then initially (when it has not been observed whether or not the event occurs) ( are independent). But suppose that now is observed to occur. If event occurs then the probability of occurrence of the event will decrease because its positive relation to is less necessary as an explanation for the occurrence of (similarly, event occurring will decrease the probability of occurrence of ). Hence, now the two events and are conditionally negatively dependent on each other because the probability of occurrence of each is negatively dependent on whether the other occurs. We have Conditional dependence of A and B given C is the logical negation of conditional independence . In conditional independence two events (which may be dependent or not) become independent given the occurrence of a third event.",6152235663017743238,related_concept,Conditional independence,2024-06-23 21:17:09.728,['Conditional dependence'],['Conditional dependence'],set(),set(),0,1.8125,1.3355828453646175
3,8,Frequency probability,http://dbpedia.org/resource/Frequency_probability,http://en.wikipedia.org/wiki/Frequency_probability,,8538285637166552251,related_concept,Conditional independence,2024-06-23 21:17:09.728,[],"['Probability', 'Probability theory']",set(),set(),0,0.21635883905013192,0.3191559862362648
4,14,Graphoid,http://dbpedia.org/resource/Graphoid,http://en.wikipedia.org/wiki/Graphoid,"A graphoid is a set of statements of the form, ""X is irrelevant to Y given that we know Z"" where X, Y and Z are sets of variables. The notion of ""irrelevance"" and ""given that we know"" may obtain different interpretations, including probabilistic, relational and correlational, depending on the application. These interpretations share common properties that can be captured by paths in graphs (hence the name ""graphoid""). The theory of graphoids characterizes these properties in a finite set of axioms that are common to informational irrelevance and its graphical representations.",280177841342901575,related_concept,Conditional independence,2024-06-23 21:17:09.728,[],"['Axiom', 'Conditional independence', 'Bayesian network']",set(),set(),0,1.0,1.383598854891882
5,16,Event (probability theory),http://dbpedia.org/resource/Event_(probability_theory),http://en.wikipedia.org/wiki/Event_(probability_theory),"In probability theory, an event is a set of outcomes of an experiment (a subset of the sample space) to which a probability is assigned. A single outcome may be an element of many different events, and different events in an experiment are usually not equally likely, since they may include very different groups of outcomes. An event consisting of only a single outcome is called an elementary event or an atomic event; that is, it is a singleton set. An event is said to occur if contains the outcome of the experiment (or trial) (that is, if ). The probability (with respect to some probability measure) that an event occurs is the probability that contains the outcome of an experiment (that is, it is the probability that ). An event defines a complementary event, namely the complementary set (the event not occurring), and together these define a Bernoulli trial: did the event occur or not? Typically, when the sample space is finite, any subset of the sample space is an event (that is, all elements of the power set of the sample space are defined as events). However, this approach does not work well in cases where the sample space is uncountably infinite. So, when defining a probability space it is possible, and often necessary, to exclude certain subsets of the sample space from being events (see , below).",6931716051753240135,related_concept,Conditional independence,2024-06-23 21:17:09.728,[],[],set(),set(),0,3.325,4.551171943306599e-304
6,18,De Finetti's theorem,http://dbpedia.org/resource/De_Finetti's_theorem,http://en.wikipedia.org/wiki/De_Finetti's_theorem,"In probability theory, de Finetti's theorem states that exchangeable observations are conditionally independent relative to some latent variable. An epistemic probability distribution could then be assigned to this variable. It is named in honor of Bruno de Finetti. For the special case of an exchangeable sequence of Bernoulli random variables it states that such a sequence is a ""mixture"" of sequences of independent and identically distributed (i.i.d.) Bernoulli random variables. A sequence of random variables is called exchangeable if the joint distribution of the sequence is unchanged by any permutation of the indices. While the variables of the exchangeable sequence are not themselves independent, only exchangeable, there is an underlying family of i.i.d. random variables. That is, there are underlying, generally unobservable, quantities that are i.i.d. – exchangeable sequences are mixtures of i.i.d. sequences.",498605413459542127,related_concept,Conditional independence,2024-06-23 21:17:09.728,[],"[""De Finetti's theorem"", 'Bernoulli distribution']",set(),set(),0,1.0444444444444445,1.1108713218671875
7,21,Sufficient dimension reduction,http://dbpedia.org/resource/Sufficient_dimension_reduction,http://en.wikipedia.org/wiki/Sufficient_dimension_reduction,"In statistics, sufficient dimension reduction (SDR) is a paradigm for analyzing data that combines the ideas of dimension reduction with the concept of sufficiency. Dimension reduction has long been a primary goal of regression analysis. Given a response variable y and a p-dimensional predictor vector , regression analysis aims to study the distribution of , the conditional distribution of given . A dimension reduction is a function that maps to a subset of , k < p, thereby reducing the dimension of . For example, may be one or more linear combinations of . A dimension reduction is said to be sufficient if the distribution of is the same as that of . In other words, no information about the regression is lost in reducing the dimension of if the reduction is sufficient.",2115773200628473917,related_concept,Dimensionality reduction,2024-06-23 21:17:09.728,['Dimension'],['Dimension'],set(),set(),0,0.725,0.9826105559940778
8,23,Maximally informative dimensions,http://dbpedia.org/resource/Maximally_informative_dimensions,http://en.wikipedia.org/wiki/Maximally_informative_dimensions,"Maximally informative dimensions is a dimensionality reduction technique used in the statistical analyses of neural responses. Specifically, it is a way of projecting a stimulus onto a low-dimensional subspace so that as much information as possible about the stimulus is preserved in the neural response. It is motivated by the fact that natural stimuli are typically confined by their statistics to a lower-dimensional space than that spanned by white noise but correctly identifying this subspace using traditional techniques is complicated by the correlations that exist within natural images. Within this subspace, stimulus-response functions may be either linear or nonlinear. The idea was originally developed by Tatyana Sharpee, Nicole C. Rust, and William Bialek in 2003.",7278186280523159593,related_concept,Dimensionality reduction,2024-06-23 21:17:09.728,['Maximally informative dimensions'],"['Maximally informative dimensions', ""Bayes' theorem""]",set(),set(),0,0.3333333333333333,0.9304377597520492
9,24,Multidimensional scaling,http://dbpedia.org/resource/Multidimensional_scaling,http://en.wikipedia.org/wiki/Multidimensional_scaling,"Multidimensional scaling (MDS) is a means of visualizing the level of similarity of individual cases of a dataset. MDS is used to translate ""information about the pairwise 'distances' among a set of objects or individuals"" into a configuration of points mapped into an abstract Cartesian space. More technically, MDS refers to a set of related ordination techniques used in information visualization, in particular to display the information contained in a distance matrix. It is a form of non-linear dimensionality reduction. Given a distance matrix with the distances between each pair of objects in a set, and a chosen number of dimensions, N, an MDS algorithm places each object into N-dimensional space (a lower-dimensional representation) such that the between-object distances are preserved as well as possible. For N = 1, 2, and 3, the resulting points can be visualized on a scatter plot. Core theoretical contributions to MDS were made by James O. Ramsay of McGill University, who is also regarded as the founder of functional data analysis.",8529093133326969461,related_concept,Dimensionality reduction,2024-06-23 21:17:09.728,['Multidimensional scaling'],"['Multidimensional scaling', 'Euclidean distance']",set(),set(),0,3.3698630136986303,1.2953811231785448
