,name,related_to
0,Probability theory,Conditional independence
1,Random variable,Conditional independence
2,Indicator function,Conditional independence
3,Law of total probability,Conditional independence
4,Cumulative distribution function,Conditional independence
5,Conditional probability distribution,Conditional independence
6,Sigma-algebra,Conditional independence
7,Conditional dependence,Conditional independence
8,Frequency probability,Conditional independence
9,Joint probability distribution,Conditional independence
10,Statistical inference,Conditional independence
11,Conditional expectation,Conditional independence
12,Conditional probability,Conditional independence
13,Probability distribution,Conditional independence
14,Graphoid,Conditional independence
15,Bayesian inference,Conditional independence
16,Event (probability theory),Conditional independence
17,Random vector,Conditional independence
18,De Finetti's theorem,Conditional independence
19,Statistical independence,Conditional independence
20,Conditional independence,
21,Sufficient dimension reduction,Dimensionality reduction
22,Multilinear subspace learning,Dimensionality reduction
23,Maximally informative dimensions,Dimensionality reduction
24,Multidimensional scaling,Dimensionality reduction
25,Feature selection,Dimensionality reduction
26,Data transformation (statistics),Dimensionality reduction
27,Curse of dimensionality,Dimensionality reduction
28,Feature extraction,Dimensionality reduction
29,Kernel principal component analysis,Dimensionality reduction
30,Principal component analysis,Dimensionality reduction
31,Feature vector,Dimensionality reduction
32,Nonlinear dimensionality reduction,Dimensionality reduction
33,Regression analysis,Dimensionality reduction
34,Random projection,Dimensionality reduction
35,Cluster analysis,Dimensionality reduction
36,Multifactor dimensionality reduction,Dimensionality reduction
37,Support-vector machine,Dimensionality reduction
38,Diffusion map,Dimensionality reduction
39,Statistical classification,Dimensionality reduction
40,Kernel methods,Dimensionality reduction
41,Dimensionality reduction,
42,Decision tree,AdaBoost
43,Least squares,AdaBoost
44,Statistical classification,AdaBoost
45,BrownBoost,AdaBoost
46,Boosting (machine learning),AdaBoost
47,Early stopping,AdaBoost
48,LPBoost,AdaBoost
49,Boosted trees,AdaBoost
50,Gradient descent,AdaBoost
51,Loss functions for classification,AdaBoost
52,Logistic regression,AdaBoost
53,CoBoosting,AdaBoost
54,Overfitting,AdaBoost
55,Decision tree learning,AdaBoost
56,Binary classification,AdaBoost
57,Decision stump,AdaBoost
58,Metaheuristic,AdaBoost
59,Numerical instability,AdaBoost
60,Bootstrap aggregating,AdaBoost
61,Regression analysis,AdaBoost
62,AdaBoost,
63,Standard error (statistics),Statistics
64,Statistical theory,Statistics
65,Bias (statistics),Statistics
66,Estimation theory,Statistics
67,Nonlinear regression,Statistics
68,Descriptive statistics,Statistics
69,Statistical model,Statistics
70,Regression analysis,Statistics
71,History of statistics,Statistics
72,Least squares,Statistics
73,Survey sampling,Statistics
74,Variance,Statistics
75,Mathematical statistics,Statistics
76,Statistical population,Statistics
77,Statistical inference,Statistics
78,Glossary of probability and statistics,Statistics
79,Sample size determination,Statistics
80,Standard deviation,Statistics
81,Test statistic,Statistics
82,Sample (statistics),Statistics
83,Statistics,
84,Binary variable,Data type
85,Abstract data type,Data type
86,Type constructor,Data type
87,Set (abstract data type),Data type
88,Enumerated type,Data type
89,Variable (computer science),Data type
90,Count data,Data type
91,Algebraic specification,Data type
92,Kind (type theory),Data type
93,List (abstract data type),Data type
94,C data types,Data type
95,Primitive data type,Data type
96,Statistical data type,Data type
97,Algebraic data type,Data type
98,Integer (computer science),Data type
99,Boolean data type,Data type
100,String (computer science),Data type
101,Type system,Data type
102,Array data type,Data type
103,Data structure,Data type
104,Data type,
105,Hermann Minkowski,Minkowski distance
106,Distance function,Minkowski distance
107,Chebyshev distance,Minkowski distance
108,F-space,Minkowski distance
109,Minkowski inequality,Minkowski distance
110,Normed vector space,Minkowski distance
111,Euclidean distance,Minkowski distance
112,Manhattan distance,Minkowski distance
113,Triangle inequality,Minkowski distance
114,Minkowski metric,Minkowski distance
115,Level set,Minkowski distance
116,Power mean,Minkowski distance
117,Minkowski distance,
118,Search algorithm,Alpha–beta pruning
119,Transposition table,Alpha–beta pruning
120,Negamax,Alpha–beta pruning
121,MTD(f),Alpha–beta pruning
122,Best first search,Alpha–beta pruning
123,Heuristic,Alpha–beta pruning
124,Killer heuristic,Alpha–beta pruning
125,Alexander Brudno,Alpha–beta pruning
126,Expectiminimax,Alpha–beta pruning
127,Depth-first search,Alpha–beta pruning
128,Game tree,Alpha–beta pruning
129,Combinatorial optimization,Alpha–beta pruning
130,Principal variation,Alpha–beta pruning
131,Minimax,Alpha–beta pruning
132,Branching factor,Alpha–beta pruning
133,Branch and bound,Alpha–beta pruning
134,Subtrees,Alpha–beta pruning
135,SSS*,Alpha–beta pruning
136,Pruning (algorithm),Alpha–beta pruning
137,Principal variation search,Alpha–beta pruning
138,Alpha–beta pruning,
139,Student's t-distribution,Student\'s t-test
140,Fisher's method,Student\'s t-test
141,Hotelling's t-squared statistic,Student\'s t-test
142,Variance,Student\'s t-test
143,One-tailed test,Student\'s t-test
144,Z-test,Student\'s t-test
145,Student's t-statistic,Student\'s t-test
146,Noncentral t-distribution,Student\'s t-test
147,Statistical hypothesis testing,Student\'s t-test
148,Welch's t-test,Student\'s t-test
149,Nonparametric statistics,Student\'s t-test
150,Pearson distribution,Student\'s t-test
151,Nuisance parameter,Student\'s t-test
152,Degrees of freedom (statistics),Student\'s t-test
153,Normal distribution,Student\'s t-test
154,P-value,Student\'s t-test
155,Null hypothesis,Student\'s t-test
156,Statistics,Student\'s t-test
157,Test statistic,Student\'s t-test
158,F-test,Student\'s t-test
159,Student's t-test,
160,Statistical assumptions,Statistical inference
161,Nonparametric statistics,Statistical inference
