,prerequisite_concept,concept,score_weighted,score_unweighted,coursemapper_channel_1_weighted,coursemapper_channel_2_weighted,Jess,Anja,Final
11,Amniote,Excretory system,0.05,0.111111111,0,1,0,0,0
25,Anus,Urinary bladder,0,0,0,1,0,0,0
88,Artificial kidney,Artificial organ,0.2,0.222222222,1,0,0,0,0
89,Artificial kidney,Bioengineering,0.2,0.222222222,1,0,0,0,0
90,Artificial kidney,Cell (biology),0,0,1,0,0,0,0
91,Artificial kidney,Diabetes mellitus,0,0,1,0,0,0,0
92,Artificial kidney,Dialysis machine,0.2,0.222222222,1,0,1,0,1
93,Artificial kidney,Hemofiltration,0.15,0.111111111,1,0,1,0,1
94,Artificial kidney,Home hemodialysis,0.05,0,1,0,1,0,1
99,Artificial kidney,Kidney transplantation,0.15,0.111111111,1,0,1,0,1
100,Artificial kidney,Renal replacement therapy,0.15,0.111111111,1,0,1,0,1
101,Artificial kidney,Tissue engineering,0.15,0.111111111,1,0,0,0,0
102,Artificial kidney,Willem Kolff,0,0,1,0,0,1,1
170,Blood,Breath,0.2,0.222222222,1,0,1,1,1
179,Blood,Filtration,0.1,0.222222222,1,0,0,0,0
191,Blood,Organ transplantation,0.1,0.222222222,1,0,0,1,1
331,Capillary,Lungs,0.2,0.222222222,1,0,1,1,1
333,Capillary,Nephron,0.35,0.333333333,1,0,1,1,1
334,Capillary,Oncotic pressure,0.15,0.111111111,1,0,0,1,1
335,Capillary,Paracellular transport,0.15,0.111111111,1,0,1,0,1
341,Capillary,Renal glomerulus,0.2,0.222222222,1,0,1,1,1
345,Capillary,Veins,0.15,0.111111111,1,0,0,1,1
388,Cartilage,Connective tissue,0.05,0.111111111,0,1,0,0,0
393,Cell (biology),Artificial kidney,0,0,0,1,1,1,1
416,Cellular respiration,Primary nutritional groups,0.25,0.333333333,1,0,0,1,1
419,Cellulose,Unicellular organism,0.25,0.333333333,1,0,0,0,0
425,Chemistry,Inorganic compound,0.05,0.111111111,0,1,0,1,1
433,Chronic kidney disease,Artificial kidney,0.05,0.111111111,0,1,1,0,1
438,Circulatory system,Lungs,0.2,0.222222222,1,0,1,0,1
443,Circulatory system,Veins,0.15,0.111111111,1,0,1,1,1
447,Connective tissue,Adipose tissue,0.05,0,1,0,1,0,1
449,Connective tissue,Biological tissue,0.3,0.333333333,1,0,0,0,0
451,Connective tissue,Dense connective tissue,0.15,0.111111111,1,0,1,0,1
452,Connective tissue,Dense irregular connective tissue,0.05,0,1,0,1,0,1
