stdUsername,course_id,totalActivities,totalAddedAnnotations,totalAnnotationsReplied,totalAnnotationsFollowed,totalLikesOnAnnotations,totalDislikesOnAnnotations,totalAccesses,totalDashboardAccesses,totalUserMentionedRepliedActivities,videosStarted,videosCompleted,videosPauses,timeSpentOnVideos,pdfStarted,pdfCompleted,slidesViewed,slidesNotUnderstood,totalAddedTags,totalTagViewed,totalKnowledgeGraphAccesses,totalKnowledgeGraphConcept/WikiViewed,totalRecommendedConcept/WikiViewed,totalRecommendedMaterialViewed,totalSlideKnowledgeGraphMarkedUnderstood,totalSlideKnowledgeGraphMarkedNotUnderstood,totalSlideKnowledgeGraphMarkedAsNew,recommendedConceptsMarkedUnderstood,recommendedConceptsMarkedNotUnderstood,recommendedConceptsMarkedMarkedAsNew,totalRecommendedMaterialMarkedHelpful,totalRecommendedMaterialMarkedNotHelpful,cluster,engagement_level
69341e455df31a19a4fe1628,692e1e0360484ffc22837654,194,0,0,0,0,0,111,0,0,1,0,4,5.85,18,2,65,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,high
6930846a601a053a681cf7d2,692e1e0360484ffc22837654,176,3,0,0,1,0,89,0,0,0,0,0,0.0,10,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low
6938baa3280e46664752d32e,692e1e0360484ffc22837654,752,3,0,0,0,0,143,1,0,1,0,3,0.07,304,1,583,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,2,high
69334fe370d0bb27267dafde,692e1e0360484ffc22837654,469,1,1,1,1,0,278,6,1,1,0,9,2.12,45,3,139,0,1,0,4,8,0,0,0,0,0,0,0,0,0,0,1,medium
69341e455df31a19a4fe1628,69334f0b70d0bb27267da84c,32,0,0,0,0,0,28,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,low
6938baa3280e46664752d32e,69334f0b70d0bb27267da84c,46,0,0,0,0,0,42,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high
69334fe370d0bb27267dafde,69334f0b70d0bb27267da84c,37,0,0,0,0,0,36,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,medium
69341e455df31a19a4fe1628,693f2c699cf2c379802f4812,120,1,0,0,0,0,59,0,0,1,2,7,1.0,6,2,30,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,high
692ce7d5a48ffa5334c0d51f,693f2c699cf2c379802f4812,15,0,0,0,0,0,7,0,0,0,0,0,0.0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low
6938baa3280e46664752d32e,693f2c699cf2c379802f4812,111,0,0,0,0,0,70,0,0,1,0,3,1.15,5,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,medium
